Bin #,MinTemp,MaxTemp,Mean Temperature,Frequency,OrbitalRadius,StarMass,PlanetRadius,StarRadius,TransitTime,TransitDepth,OrbitalPeriod
26.0,5183.0,5283.0,5232.820315556135,39152.0,110507518792.0,1.7443591987043004e+30,9041578.0,600920349.9999999,37039.22954080855,0.0002263886467213872,71134887.2128196
27.0,5283.0,5383.0,5332.847476816907,37920.0,127755897230.0,1.8115692571243002e+30,6681419.0,619315350.0,40275.59176908893,0.00011638947972827489,93293501.45314233
28.0,5383.0,5483.0,5434.861267321405,37745.0,148898490260.0,1.8793496895443e+30,5828760.0,637710349.9999999,43957.389515000636,8.354210537294668e-05,124421015.5177718
29.0,5483.0,5583.0,5533.405296501086,45397.0,154643033828.0,1.9477004959643002e+30,3774719.0,656105350.0,45273.57096844414,3.309955050985683e-05,131830708.58240917
30.0,5583.0,5683.0,5633.616662190915,49412.0,105599284605.0,2.0166216763843004e+30,10140107.0,674500350.0,37797.88771652286,0.00022600638918761923,60412483.27757141
31.0,5683.0,5783.0,5748.766481218382,76754.0,162901112324.0,2.0861132308043005e+30,6483421.0,692895349.9999999,47416.31633814553,8.755342766470979e-05,141350097.43378758
32.0,5783.0,5883.0,5831.577523890123,58667.0,96452369163.0,2.1561751592243e+30,8022576.0,711290350.0,36840.74687555191,0.00012721368895843914,48741706.65719789
33.0,5883.0,5983.0,5933.676293919197,61823.0,168113768366.0,2.2268074616443002e+30,7736993.0,729685350.0,49097.910887938444,0.00011242765543139874,145707592.97619703
34.0,5983.0,6083.0,6036.510198472399,69499.0,223841009165.0,2.2980101380643002e+30,3802213.0,748080350.0,57175.39626993533,2.5833091988495605e-05,254284736.00825465
35.0,6083.0,6183.0,6130.857737693069,64450.0,126064411682.0,2.3697831884843002e+30,11049325.0,766475350.0,43291.95663131644,0.00020781414798144704,79423248.6557734
36.0,6183.0,6283.0,6228.475070620245,58898.0,117656467865.0,2.4421266129043e+30,7486863.0,784870350.0,42187.988291990434,9.099214986226028e-05,68149782.79979263
37.0,6283.0,6383.0,6330.063365446067,42952.0,249451694247.0,2.5150404113243006e+30,6334076.0,803265350.0,61950.79120243818,6.217967862582936e-05,301868212.7827035
38.0,6383.0,6483.0,6434.5058181818185,30582.0,253275574360.0,2.5885245837443e+30,4398951.0,821660350.0,62940.46054342025,2.866246836505059e-05,306744950.447981
39.0,6483.0,6583.0,6528.850092782988,20238.0,237252041718.0,2.6625791301643e+30,5301410.0,840055350.0,61408.52955382105,3.982602681902812e-05,265390642.97778705
